# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.15.4

auth.logged-in::chainik_zxc, boolean, 01
auth.logged-in::danilcxz, boolean, 01
auth.logged-in::lollightp, boolean, 01
auth.logged-in::washapso, boolean, 01
auth.password::amgered, string, 804063336261363831626235303063303563383937373631613438333165346137626463653861393734643330313337616163356662373539623731666335336565
auth.password::chainik_zxc, string, 804034646630663439386236343437396136333539386336313966633663643333623830613633303232303835623662303962336431323665633233386433653532
auth.password::danilcxz, string, 804066336363353439653863393464366366653862313935363161373538666438633166633830363131396464613161336435393865653538663231643564356534
auth.password::lollightp, string, 804032666461643939633066316333353733326364396537613861663138653439646133633633653137383734653062363733356464353134383162396231663838
auth.password::rolubok, string, 804062633433306631363337613530613262343665353235306237363630636132313065373234306135353431343334373266363264653832663162343436666234
auth.password::swaga2289, string, 804034646435643730386430373239646535346431326662333561386462653631643331353262333434333734326632366431363765393235393161383831656439
auth.password::washapso, string, 804061306632343231366661393864336537613139303364636462356231343937353436623731353961356366353065663030373739343062636439613738373865
auth.salt::amgered, string, 802463303738633262332D396536652D346662342D393139332D376164333664626339343662
auth.salt::chainik_zxc, string, 802464613032666661312D333264662D343835642D396162362D383165373732626631383939
auth.salt::danilcxz, string, 802462396263643837352D656433652D346432622D626439632D663931343363646632383733
auth.salt::lollightp, string, 802461313832343365302D323563322D343566322D613131392D323762613364376638663062
auth.salt::rolubok, string, 802466366266616333622D633130622D343139342D393438312D653835353936396661383865
auth.salt::swaga2289, string, 802431646239626338302D643062362D343862332D386561352D323437646666633733393536
auth.salt::washapso, string, 802431353464326662352D326264632D343162372D393931342D666135626531323866656266
auth.trusted-ip::amgered, string, 804064393030383639666231363465333865303831313532303961383034356665303339326239396466346166613737353737313966363063386536343032646639
auth.trusted-ip::chainik_zxc, string, 804063333537393066393364333833396435613264336134356136613263626461343038383832363333663037373039333439333839326435346362373837316164
auth.trusted-ip::danilcxz, string, 804064393163303636303435373032663665323339366366396239353866653639623638666239343639326531326435663766636235386665353733626236343136
auth.trusted-ip::lollightp, string, 804061373839356134356238343636386437376530646132393235653366326337313930383866326539326638626162393836656233653033333162326564356264
auth.trusted-ip::rolubok, string, 804062636337393438633737653365616262306164623466306566663831383431343630346431633062303935333433666162383339653033313232333535613034
auth.trusted-ip::swaga2289, string, 804064323032636336306263636539666639353032633131353938373963383261396430363536653963343931653537613337333330663135346163333364636232
auth.trusted-ip::washapso, string, 804031343437616561663033306334343163353561376332356535313234376264316264336537653632373161653038353032326265613263363630396233343862
auth.trusted-until::amgered, date, 810974696D657374616D7004000001A08C506CDA
auth.trusted-until::chainik_zxc, date, 810974696D657374616D7004000001A077A5115E
auth.trusted-until::danilcxz, date, 810974696D657374616D7004000001A0907F74E7
auth.trusted-until::lollightp, date, 810974696D657374616D7004000001A07D3B624A
auth.trusted-until::rolubok, date, 810974696D657374616D7004000001A077356D6A
auth.trusted-until::swaga2289, date, 810974696D657374616D7004000001A08C6C0C88
auth.trusted-until::washapso, date, 810974696D657374616D7004000001A08D6721B5
chat.channel::8888f8b8-222a-3467-89bb-29f1aa0bce88, string, 8006676C6F62616C
chat.channel::30117ceb-db68-3c7e-8ee3-5b696de4040d, string, 80056C6F63616C
chat.channel::30848de2-f6d9-31f2-82b0-fe190805a709, string, 80056C6F63616C
chat.channel::85526c51-87f3-30a3-8664-ccb99fdce0a6, string, 80056C6F63616C
country::8888f8b8-222a-3467-89bb-29f1aa0bce88, string, 8010D09FD0B8D0B2D0BED0B3D180D0B0D0B4
country::e0d26be5-011f-3438-8d20-e4ab70c5a889, string, 800ED093D180D0B0D0B4D0B8D0BED0BD
country::e06993dd-33c0-347d-afe6-b423e6651b4b, string, 800ED093D180D0B0D0B4D0B8D0BED0BD
country.claim::v2|world|2|43, string, 802466616239326634652D366632362D346136352D393766362D353832363135393862343336
country.claim::v2|world|7|33, string, 802439383533663137332D306334312D343533392D623932372D616331643166326233316139
country.claims::9853f173-0c41-4539-b927-ac1d1f2b31a9::v2|world|7|33, boolean, 01
country.claims::fab92f4e-6f26-4a65-97f6-58261598b436::v2|world|2|43, boolean, 01
country.color::9853f173-0c41-4539-b927-ac1d1f2b31a9, string, 80073C77686974653E
country.color::fab92f4e-6f26-4a65-97f6-58261598b436, string, 80073C77686974653E
country.directory-page::30117ceb-db68-3c7e-8ee3-5b696de4040d, long, 0000000000000001
